contractId	target	kind	evidenceId	testClass	testName
APK-001	jvm	scenario	appkit-provider-discovery	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	discoveryAndAvailabilityDoNotTouchTheNativeBridge[jvm]
APK-001	jvm	scenario	appkit-standalone-stop	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	applicationStopStopsTheNativeLoopAndReturnsTheSessionOutcome[jvm]
APK-001	jvm	scenario	appkit-standalone-failure	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	nativeFailureAfterAdmissionBecomesASessionOutcome[jvm]
APK-001	jvm	scenario	appkit-standalone-reuse	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	sequentialRunsReleaseAllProcessAndSessionState[jvm]
APK-001	jvm	sentinel	appkit-off-main-accepted	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedAttachRejectsInvalidHostStateBeforeFactoryCreation[jvm]
APK-001	jvm	sentinel	appkit-loop-not-woken	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	applicationStopStopsTheNativeLoopAndReturnsTheSessionOutcome[jvm]
APK-002	jvm	scenario	appkit-embedded-lifecycle	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedSessionsReceiveLifecycleWithoutOwningTheNativeLoop[jvm]
APK-002	jvm	scenario	appkit-embedded-isolation	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedSessionsReceiveLifecycleWithoutOwningTheNativeLoop[jvm]
APK-002	jvm	scenario	appkit-embedded-host-termination	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedSessionsReceiveLifecycleWithoutOwningTheNativeLoop[jvm]
APK-002	jvm	scenario	appkit-embedded-native-notification	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	realKffiNotificationRoutesThroughAnEmbeddedSessionOnMacOs[jvm]
APK-002	jvm	scenario	appkit-embedded-native-revocation	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	realKffiLifecycleSourceStopsDeliveringAfterCloseOnMacOs[jvm]
APK-002	jvm	sentinel	appkit-embedded-off-main-accepted	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedAttachRejectsInvalidHostStateBeforeFactoryCreation[jvm]
APK-002	jvm	sentinel	appkit-embedded-inactive-loop-accepted	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedAttachRejectsWrongIntegrationAndInactiveNativeLoopBeforeFactoryCreation[jvm]
APK-002	jvm	sentinel	appkit-embedded-wrong-integration-accepted	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedAttachRejectsWrongIntegrationAndInactiveNativeLoopBeforeFactoryCreation[jvm]
APK-002	jvm	sentinel	appkit-embedded-busy-accepted	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	embeddedAttachBusyClosesItsObservationBeforeFactoryCreation[jvm]
APK-003	jvm	scenario	appkit-window-public-activation	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	privateWindowDriversDoNotReplaceThePublicSessionOwnedManager[jvm]
APK-003	jvm	scenario	appkit-window-precommit-cancellation	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSessionCancelsAPendingRequestWithoutLeavingNativeOrManagerResidue[jvm]
APK-003	jvm	scenario	appkit-window-membership	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSessionKeepsAdmissionOrderAndMovesPrimaryOnlyAfterClosure[jvm]
APK-003	jvm	scenario	appkit-window-native-close	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	realKffiStandaloneLoopStartsAndStopsOnMacOs
APK-003	jvm	scenario	appkit-window-programmatic-close	org.graphiks.kadre.internal.appkit.AppKitWindowRuntimeDriverTest	programmaticClosePublishesOneTerminalNativeCloseAndReleasesTheWindowSlot[jvm]
APK-003	jvm	scenario	appkit-last-window-stop	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	standaloneLastWindowPolicyIgnoresHeadlessStartupAndStopsAfterItsArmedTransition[jvm]
APK-003	jvm	scenario	appkit-window-handle-lease	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitDesktopHandleRunsOnTheOwnerThreadAndCloseWaitsForItsLease[jvm]
APK-003	jvm	scenario	appkit-window-teardown	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSessionTeardownDetachesPendingThenCommittedWindowsBeforeDelegateRevocation[jvm]
APK-003	jvm	scenario	appkit-window-native-peer	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	realKffiStandaloneLoopStartsAndStopsOnMacOs
APK-003	jvm	sentinel	appkit-window-capability-left-unsupported	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitWindowStateCommitsSupportedTransparencyAndLeavesUnsupportedPropertiesUnavailable[jvm]
APK-003	jvm	sentinel	appkit-window-cancel-residue	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSessionCancelsAPendingRequestWithoutLeavingNativeOrManagerResidue[jvm]
APK-003	jvm	sentinel	appkit-window-commit-cancel-rollback	org.graphiks.kadre.internal.appkit.AppKitWindowRuntimeDriverTest	requesterCancellationAfterCommitReservationDoesNotRollBackTheOpenedWindow[jvm]
APK-003	jvm	sentinel	appkit-window-primary-drift	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSessionKeepsAdmissionOrderAndMovesPrimaryOnlyAfterClosure[jvm]
APK-003	jvm	sentinel	appkit-window-close-bypass	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	realKffiStandaloneLoopStartsAndStopsOnMacOs
APK-003	jvm	sentinel	appkit-window-close-coalescing	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	repeatedNativeCloseCallbacksStayCoalescedUntilThePendingRequestIsRejected[jvm]
APK-003	jvm	sentinel	appkit-window-double-terminal-close	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitWindowDefersNativeCloseAndUsesTheFirstApplicationResponse[jvm]
APK-003	jvm	sentinel	appkit-window-effective-state	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitWindowStateCommitsSupportedTransparencyAndLeavesUnsupportedPropertiesUnavailable[jvm]
APK-003	jvm	sentinel	appkit-window-forced-close-wins	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	forcedNativeTerminalWinsBeforeAQueuedRejectResponse[jvm]
APK-003	jvm	sentinel	appkit-headless-auto-stop	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	standaloneLastWindowPolicyIgnoresHeadlessStartupAndStopsAfterItsArmedTransition[jvm]
APK-003	jvm	sentinel	appkit-stale-window-handle	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitDesktopHandleRunsOnTheOwnerThreadAndCloseWaitsForItsLease[jvm]
APK-003	jvm	sentinel	appkit-window-teardown-order	org.graphiks.kadre.internal.appkit.AppKitWindowRuntimeDriverTest	closeReservesCommitIssuedPendingCleanupBeforeCommittedPeers[jvm]
APK-004	jvm	scenario	appkit-surface-snapshot	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSurfacePublishesSnapshotBeforeEventsAndCoalescesRedrawBursts[jvm]
APK-004	jvm	scenario	appkit-surface-native-stimulus	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	realKffiStandaloneLoopStartsAndStopsOnMacOs
APK-004	jvm	scenario	appkit-surface-redraw	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSurfacePublishesSnapshotBeforeEventsAndCoalescesRedrawBursts[jvm]
APK-004	jvm	scenario	appkit-surface-terminal	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSurfaceIgnoresLateNativeValuesAfterTerminalClose[jvm]
APK-004	jvm	scenario	appkit-surface-manual-harness	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	phase3SurfaceHarnessWritesCompleteNoninteractiveRecordOnMacOs[jvm]
APK-004	jvm	sentinel	appkit-surface-stale-snapshot	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSurfacePublishesSnapshotBeforeEventsAndCoalescesRedrawBursts[jvm]
APK-004	jvm	sentinel	appkit-surface-event-before-state	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSurfacePublishesSnapshotBeforeEventsAndCoalescesRedrawBursts[jvm]
APK-004	jvm	sentinel	appkit-surface-redraw-not-coalesced	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSurfacePublishesSnapshotBeforeEventsAndCoalescesRedrawBursts[jvm]
APK-004	jvm	sentinel	appkit-surface-post-close-callback	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitSurfaceIgnoresLateNativeValuesAfterTerminalClose[jvm]
APK-004	jvm	sentinel	appkit-surface-unsupported-capability-activation	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	publicAppKitWindowStateCommitsSupportedTransparencyAndLeavesUnsupportedPropertiesUnavailable[jvm]
APK-005	jvm	scenario	appkit-input-public-activation	org.graphiks.kadre.internal.appkit.AppKitBackendProviderTest	phase4InputHarnessWritesAnHonestNoninteractiveRecordOnMacOs[jvm]
